A	ACCELERATION
NRDHS	NEXT REAR DOWN HALL STOP
NRUHS	NEXT REAR UP HALL STOP
NSB	NON-STOP BUTTON
NSDHS	NEXT SECOND DOWN HALL STOP
NSL	NON-STOP LIGHT
NSUHS	NEXT SECOND UP HALL STOP
NUHS	NEXT UP HALL STOP
NX	INDEX
NY	INDEX INTO HLY LAST UP HALL LITE
O1S2	SAFETY OPERATING SWITCH 2
ODZ	OUTER DOOR ZONE
ODZ1	OUTER DOOR ZONE 1 GPIO
ODZ2	OUTER DOOR ZONE 2 GPIO
ODZPPT	OUTER DOOR ZONE PPT
OLDCP	OLD COMMITTABLE POSITION
OLDECC	OLD ERASE CC FLOOR NUMBER
OLDL	OVERLOAD LIGHT
OLDS	OVERLOAD SIGNAL
OLDSCC	OLD SET CC FLOOR NUMBER
OLDSP	OLD SYNC. POSITION
OM	OPERATING MODE
OM413	OPMODE 4-13
OTP	OVERTEMPURATURE FAILURE
OVTMP	OVERTEMPERATURE
PARK	PARKING MODE=15
PATINP	10 FPM PAT DICTATION
PATRES	"PAT MODE WITH UX, DX"
PATS	LATCHED PAT
PCES	PERMIT CAR EMERGENCY SERVICE
PCF	POSITION WORD FAILURE
PCFCNT	COUNTER FOR PCF OCCURANCES
PCFS	LATCHED PCF
PCH	CAR POS 256 FT=> 1 (MSW)
PCH1	PCH(.-1)
PCIF	CAR POS. FAILURE AFTER INIT.
PCL	CAR POS 1 FT=> 100 (LSW)
PCL1	PCL(.-1)
PCOMP	PROGEN VARIABLE
PCPH	COMMITTABLE FLOOR (MSW)
PCPH16	PCP*16
PCPL	COMMITTABLE FLOOR (LSW)
PCPL16	PCP*16
PCSD	CAR POS. MEAS. BY SLODOWN XDUCER
PCSDH	MSW PCSD POSITION
PCSDL	LSW PCSD POSITION
PDO	PREVENT DOOR OPEN
PDOF	PREVENT DOOR OPEN FEED BACK
PEP	PREFFERRED EMERANCY SERVICE
PES1B	EM STOP BIT
PGA	PROFILE GEN. ACCELERATION
PGAA	PROFILE GEN. ACCELERATION
PGANEW	NEWLY CALCULATED ACCELERATION
PGD	DECELERATION VALUE
PGD1	REGION 1 DECEL
PGD2	REGION 2 DECEL
PGD3	REGION 3 DECEL
PGD4	REGION 4 DECEL
